region,depth_lbl,depth_beg,tide_lbl,tide_beg,area_km2
Alaska,0-100,0,0-500,0,47.08451878017459
Alaska,100-200,100,0-500,0,64.08097705412338
Alaska,"200-1,000",200,0-500,0,125.50607476227948
Alaska,0-100,0,"500-1,000",500,9.128994070983554
Alaska,100-200,100,"500-1,000",500,0.3984558376684948
Alaska,"200-1,000",200,"500-1,000",500,0.6045650746296268
Alaska,0-100,0,"1,000-1,500",1000,1.5094229436517301
Alaska,"200-1,000",200,"1,000-1,500",1000,0.18545409064531326
Alaska,0-100,0,">1,500",1500,0.5090119299655873
Alaska,"200-1,000",200,">1,500",1500,0.30509767898646184
Atlantic Islands,0-100,0,0-500,0,31.659838961550125
Atlantic Islands,100-200,100,0-500,0,2.101982149359055
Atlantic Islands,"200-1,000",200,0-500,0,28.18067187928035
Atlantic Islands,">1,000",1000,0-500,0,20.96925300929414
East,0-100,0,0-500,0,128.6646462388103
East,100-200,100,0-500,0,6.190478269837322
East,"200-1,000",200,0-500,0,4.015593093251491
East,0-100,0,"500-1,000",500,0.3969102902850562
East,0-100,0,"1,000-1,500",1000,0.1511016544380188
East,0-100,0,">1,500",1500,0.06356503593729902
Gulf of Mexico,0-100,0,0-500,0,16.607290967981616
West,0-100,0,0-500,0,55.7601893234695
West,100-200,100,0-500,0,58.91386593372266
West,"200-1,000",200,0-500,0,34.22745588284386
West,">1,000",1000,0-500,0,10.548085384416103
West,0-100,0,"500-1,000",500,2.2150418859473473
West,100-200,100,"500-1,000",500,0.37825456577455624
