depth_from,depth_to,depth_1x,depth_2x,depth_3x
0.0,250.0,250.0,500.0,750.0
250.0,260.0,255.0,510.0,765.0
260.0,270.0,265.0,530.0,795.0
270.0,280.0,275.0,550.0,825.0
280.0,290.0,285.0,570.0,855.0
290.0,300.0,295.0,590.0,885.0
300.0,310.0,305.0,610.0,915.0
310.0,320.0,315.0,630.0,945.0
320.0,330.0,325.0,650.0,975.0
330.0,340.0,335.0,670.0,1005.0
340.0,350.0,345.0,690.0,1035.0
350.0,360.0,355.0,710.0,1065.0
360.0,370.0,365.0,730.0,1095.0
370.0,380.0,375.0,750.0,1125.0
380.0,390.0,385.0,770.0,1155.0
390.0,400.0,395.0,790.0,1185.0
400.0,410.0,405.0,810.0,1215.0
410.0,420.0,415.0,830.0,1245.0
420.0,430.0,425.0,850.0,1275.0
430.0,440.0,435.0,870.0,1305.0
440.0,450.0,445.0,890.0,1335.0
450.0,460.0,455.0,910.0,1365.0
460.0,470.0,465.0,930.0,1395.0
470.0,480.0,475.0,950.0,1425.0
480.0,490.0,485.0,970.0,1455.0
490.0,500.0,495.0,990.0,1485.0
500.0,510.0,505.0,1010.0,1515.0
510.0,520.0,515.0,1030.0,1545.0
520.0,530.0,525.0,1050.0,1575.0
530.0,540.0,535.0,1070.0,1605.0
540.0,550.0,545.0,1090.0,1635.0
550.0,560.0,555.0,1110.0,1665.0
560.0,570.0,565.0,1130.0,1695.0
570.0,580.0,575.0,1150.0,1725.0
580.0,590.0,585.0,1170.0,1755.0
590.0,600.0,595.0,1190.0,1785.0
600.0,610.0,605.0,1210.0,1815.0
610.0,620.0,615.0,1230.0,1845.0
620.0,630.0,625.0,1250.0,1875.0
630.0,640.0,635.0,1270.0,1905.0
640.0,650.0,645.0,1290.0,1935.0
650.0,660.0,655.0,1310.0,1965.0
660.0,670.0,665.0,1330.0,1995.0
670.0,680.0,675.0,1350.0,2025.0
680.0,690.0,685.0,1370.0,2055.0
690.0,700.0,695.0,1390.0,2085.0
700.0,710.0,705.0,1410.0,2115.0
710.0,720.0,715.0,1430.0,2145.0
720.0,730.0,725.0,1450.0,2175.0
730.0,740.0,735.0,1470.0,2205.0
740.0,750.0,745.0,1490.0,2235.0
750.0,760.0,755.0,1510.0,2265.0
760.0,770.0,765.0,1530.0,2295.0
770.0,780.0,775.0,1550.0,2325.0
780.0,790.0,785.0,1570.0,2355.0
