territory,energy_num,energy_lbl,area_km2,cable2_km2,cable2_pct,cable3_km2,cable3_pct
Alaska,0,0-500,165671.1478209009,1458.998773815568,0.880659543321823,2110.549331101331,1.2739389802399055
Alaska,500,500-1000,736.5028436829544,25.90891221038342,3.5178292158144795,37.40488881288774,5.078716142607263
Alaska,1000,1000-1500,172.81341063491598,4.719492690772081,2.7309759546048413,7.012354257923498,4.057760466713855
Alaska,1500,>1500,114.46241494745965,2.1789722901904107,1.9036574505182327,3.106335363169658,2.7138474796251004
East,0,0-500,83473.7788495235,1796.915088744494,2.1526701121123994,2490.1691371672655,2.983175281493178
East,500,500-1000,411.75396876835396,3.9247834910192028,0.9531865601099334,6.689935011587187,1.624740869310439
East,1000,1000-1500,130.48469922349892,1.154172471155777,0.8845270579800844,1.6158201562874939,1.2383215548666426
East,1500,>1500,89.6694412266258,0,0,0,0
Gulf of Mexico,0,0-500,67752.23263192184,235.5360423244611,0.3476432187911207,345.3815951010826,0.5097715332532882
Gulf of Mexico,500,500-1000,37.934650212220944,0,0,0,0
Gulf of Mexico,1000,1000-1500,7.544894161560642,0,0,0,0
Gulf of Mexico,1500,>1500,2.7964831761107125,0,0,0,0
Puerto Rico,0,0-500,12531.688306664908,1666.5293793275307,13.298522422084153,2417.7216577215186,19.292864604968404
US Virgin Islands,0,0-500,4289.234751263465,1424.3716898730431,33.208060935659226,1876.2997061320118,43.74439299642708
West,0,0-500,70063.11635818331,2333.877419438687,3.331107065673781,3167.3607887740136,4.520724959737063
West,500,500-1000,58.582742909892396,11.800118153081172,20.142652199183015,15.502830059340091,26.46313451588532
West,1000,1000-1500,14.59209604158313,0,0,0,0
West,1500,>1500,16.84193746338427,0,0,0,0
ALL,0,0-500,403781.1987184579,8916.228393523785,0.022081831501373966,12407.482215997223,0.030728231664517183
ALL,500,500-1000,1244.7742055734218,41.6338138544838,0.03344688030011405,59.59765388381502,0.047878284765999445
ALL,1000,1000-1500,325.43510006155867,5.873665161927859,0.01804865289827928,8.628174414210992,0.02651273452857084
ALL,1500,>1500,223.77027681358044,2.1789722901904107,0.009737541201710533,3.106335363169658,0.013881805069926681
